interaction_id,session_id,user_id,timestamp_utc,split,channel,use_case,country_code,region,account_tier,segment,instruction_template,model_provider,model_name,temperature,top_p,max_tokens,prompt_tokens,completion_tokens,total_tokens,latency_ms,cost_usd,response_quality_score,is_failure,failure_type,hallucination_flag,toxicity_flag,safety_block_flag,formatting_error_flag,tool_error_flag,latency_timeout_flag,tool_calls_count,tools_used,user_feedback_score,user_feedback_label,user_reported_issue,retry_index,repair_strategy,final_resolution_state,business_impact_tag,request_text,response_text_snippet,tokens_per_second,date_utc,hour_of_day_utc,day_of_week,is_weekend,is_peak_hour,prompt_to_completion_ratio,request_text_template,instruction_text,user_feedback_observed,prompt_id,response_text_snippet_len_chars,response_text_snippet_is_truncated
INT001711,S01062,U00253,2025-04-03 07:11:48+00:00,train,slack,content_writing,IN,APAC,free,individual,code_assistant_secure,mistral,mistral-large,0.653,0.877,1536,862,585,1447,3487,0.17364,0.88,False,none,False,False,False,False,False,False,0,none,,no_feedback,False,0,none,auto_resolved,high,"I'm working on something and need help: Write a concise product description for a new wireless mouse aimed at software developers. A short, clear answer would be ideal.","Here's a clear, step-by-step answer. Goal: handle evaluation for LLM systems reliably, with guardrails for formatting and failure handling. Plan: - Prefer simple baselines first; then iterate based on measured failure slices. -...",414.969888156008,2025-04-03,7,3,False,False,1.4735,Write a concise product description for a new wireless mouse aimed at software developers.,"You are a writing assistant helping users craft clear, engaging, and well-structured content. Keep the tone natural, readable, and aligned with the user's intent.",False,20f1dad1d39f7b8df6faaa166fe78024f8d03fd6,230,True
INT001712,S00845,U00096,2025-04-08 23:03:24+00:00,train,api,customer_support,CA,AMER,pro,individual,support_strict,openai,gpt-4.1,0.24,0.936,768,809,768,1577,1179,0.6308,0.642,False,none,False,False,False,False,False,False,0,none,,no_feedback,False,0,none,abandoned,low,I'm working on something and need help: A user says they were double charged this month. Help me draft a clear explanation and next steps. Can you walk me through a good solution?,"We can make this robust with a few changes. Goal: handle account verification reliably, with guardrails for formatting and failure handling. Plan: - Start by writing a small function boundary for account verification and...",1337.5742154368108,2025-04-08,23,1,False,False,1.0534,A user says they were double charged this month. Help me draft a clear explanation and next steps.,"You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",False,d029d0919f8e306d09ca7001d500c1e6f1c81007,223,True
INT001713,S00347,U00306,2025-03-15 16:08:54+00:00,train,web_app,content_writing,DE,EMEA,pro,team,internal_policy_qa,local,custom-local-8b,0.696,0.914,2048,100,111,211,991,0.0008399999999999,0.847,False,none,False,False,False,False,False,False,0,none,2.0,positive,False,0,none,abandoned,low,"Can you help me debug this? Turn these bullet points into a short, engaging blog introduction about learning machine learning. A short, clear answer would be ideal.","Here are the guardrails I'd put in place. Goal: handle LLM reliability reliably, with guardrails for formatting and failure handling. Plan: - Start by writing a small function boundary for LLM reliability and add tests before optimizing. - Use...",212.9162462159435,2025-03-15,16,5,True,True,0.9009,"Turn these bullet points into a short, engaging blog introduction about learning machine learning.","You are a writing assistant helping users craft clear, engaging, and well-structured content. Keep the tone natural, readable, and aligned with the user's intent.",True,db47a2ba00ac8f8120dcd2fd47d3648a8f594c66,246,True
INT001714,S00638,U00104,2025-03-04 17:32:19+00:00,train,api,data_analysis,BR,AMER,enterprise,individual,internal_policy_qa,local,custom-local-8b,0.261,0.885,1024,394,717,1111,859,0.00444,0.707,False,none,False,False,False,False,False,False,0,none,1.0,positive,False,0,none,abandoned,low,Quick question: I have a CSV with user sessions. Show me a quick breakdown of sessions per country and device type.,"Here's what I'd implement in production. Goal: handle latency p95 reliably, with guardrails for formatting and failure handling. Plan: - Add telemetry fields for latency/tokens/cost so you can debug regressions quickly. - Use...",1293.3643771827708,2025-03-04,17,1,False,True,0.5495,I have a CSV with user sessions. Show me a quick breakdown of sessions per country and device type.,"You are a data analysis assistant helping users reason about data, metrics, and models. Explain trade-offs, outline steps, and keep the language accessible but precise.",True,62646e5a7026d4f68ab1867a730451326aa3b664,228,True
INT001715,S01530,U00127,2025-02-07 08:39:39+00:00,test,web_app,brainstorming,DE,EMEA,pro,team,analytics_helper,google,gemini-1.5-pro,0.799,0.992,1536,1498,443,1941,763,0.62112,0.788,False,none,False,False,False,False,False,False,0,none,1.0,positive,False,0,none,auto_resolved,medium,I'm stuck on this and need some guidance: I need naming ideas for an internal tool that tracks experiments and model runs. Can you walk me through a good solution?,"We can make this robust with a few changes. Goal: handle incident response automation reliably, with guardrails for formatting and failure handling. Plan: - Start by writing a small function boundary for incident response automation...",2543.905635648755,2025-02-07,8,4,False,False,3.3815,I need naming ideas for an internal tool that tracks experiments and model runs.,"You are a creative assistant helping users explore ideas and options. Suggest multiple alternatives, structure them clearly, and stay practical.",True,2df52d847c72d1f6b37061123acb53282123086b,235,True
INT001716,S00737,U00038,2025-02-07 13:47:25+00:00,val,api,brainstorming,GB,EMEA,free,individual,creative_writer,google,gemini-1.5-pro,0.425,0.862,256,240,256,496,2459,0.15872,0.588,False,none,False,False,False,False,False,False,0,none,,no_feedback,False,0,none,auto_resolved,low,Can you help me debug this? Suggest a few content ideas for our next newsletter aimed at early-stage startups.,"Here's a clear, step-by-step answer. Goal: handle knowledge base search reliably, with guardrails for formatting and failure handling. Plan: - Prefer simple baselines first; then iterate based on measured failure slices. - Add telemetry fields...",201.70801138674256,2025-02-07,13,4,False,True,0.9375,Suggest a few content ideas for our next newsletter aimed at early-stage startups.,"You are a creative assistant helping users explore ideas and options. Suggest multiple alternatives, structure them clearly, and stay practical.",False,6f52c3b4cdce68aa614a61f324617ae8d0e91690,246,True
INT001717,S01183,U00054,2025-03-21 09:13:31+00:00,train,api,internal_qa,GB,EMEA,free,team,analytics_helper,meta,llama-3.1-70b,0.658,0.9,1536,966,284,1250,795,0.25,0.683,False,none,False,False,False,False,False,False,0,none,,no_feedback,False,0,none,auto_resolved,low,I'm working on something and need help: Summarise this internal security policy into three bullet points for non-technical employees. Please explain step by step.,"We can make this robust with a few changes. Goal: handle latency reliably, with guardrails for formatting and failure handling. Plan: - Start by writing a small function boundary for latency and add tests before optimizing. - Use schema...",1572.3270440251572,2025-03-21,9,4,False,True,3.4014,Summarise this internal security policy into three bullet points for non-technical employees.,"You are an internal knowledge assistant helping teammates navigate documentation, policies, and internal tools. Be precise, concise, and point to relevant information and next steps.",False,d33eca392020f2e6e14ec7fe3091a25b46d6bae1,239,True
INT001718,S00836,U00366,2025-03-21 10:40:50+00:00,train,internal_tool,customer_support,EG,EMEA,pro,team,creative_writer,anthropic,claude-3.5-sonnet,0.507,0.85,768,1351,140,1491,1137,0.47712,0.793,False,none,False,False,False,False,False,False,0,none,,no_feedback,False,0,none,auto_resolved,high,Our customer is getting an error when trying to log in to their account. Can you help me debug this? Please explain step by step.,"Below is a decision-focused breakdown. Goal: handle data export request reliably, with guardrails for formatting and failure handling. Plan: - Add telemetry fields for latency/tokens/cost so you can debug regressions quickly. - Use schema...",1311.345646437995,2025-03-21,10,4,False,True,9.65,Our customer is getting an error when trying to log in to their account. Can you help me debug this?,"You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",False,7a490bfafd7436aea43a528e9fe4cb6db10b9a6b,241,True
INT001719,S00579,U00429,2025-04-16 11:15:09+00:00,train,api,data_analysis,EG,EMEA,pro,enterprise_team,internal_policy_qa,meta,llama-3.1-70b,0.25,0.949,1536,141,430,571,1146,0.1142,0.806,False,none,False,False,False,False,False,False,0,none,2.0,positive,False,0,none,auto_resolved,low,I have a CSV with user sessions. Show me a quick breakdown of sessions per country and device type. Can you walk me through a good solution?,"Let's turn this into a reliable workflow. Goal: handle token usage reliably, with guardrails for formatting and failure handling. Plan: - Add telemetry fields for latency/tokens/cost so you can debug regressions...",498.2547993019198,2025-04-16,11,2,False,True,0.3279,I have a CSV with user sessions. Show me a quick breakdown of sessions per country and device type.,"You are a data analysis assistant helping users reason about data, metrics, and models. Explain trade-offs, outline steps, and keep the language accessible but precise.",True,62646e5a7026d4f68ab1867a730451326aa3b664,214,True
INT001720,S00626,U00379,2025-04-03 13:45:46+00:00,train,web_app,internal_qa,BR,AMER,pro,individual,analytics_helper,meta,llama-3.1-70b,0.392,0.939,1024,566,670,1236,970,0.2471999999999999,0.349,True,hallucination,True,False,False,False,False,False,0,none,-1.0,negative,False,1,enable_tools,auto_resolved,low,"Context for you: Follow-up: the previous reply did not fully solve the issue. Summarise this internal security policy into three bullet points for non-technical employees. A short, clear answer would be ideal.",I'll keep this concrete and measurable. Let's stabilize it. Signal: hallucination while working on errors. Quick diagnosis: Refuse when confidence is low; avoid confident guesses. Recommended actions: - Add a verification step for...,1274.2268041237114,2025-04-03,13,3,False,True,0.8448,Follow-up: the previous reply did not fully solve the issue. Summarise this internal security policy into three bullet points for non-technical employees.,"You are an internal knowledge assistant helping teammates navigate documentation, policies, and internal tools. Be precise, concise, and point to relevant information and next steps.",True,d33eca392020f2e6e14ec7fe3091a25b46d6bae1,233,True
INT001721,S00276,U00166,2025-02-04 13:55:30+00:00,val,web_app,content_writing,EG,EMEA,free,individual,code_assistant_secure,local,custom-local-8b,0.558,0.9,768,1036,700,1736,1343,0.00696,0.475,True,latency_timeout,False,False,False,False,False,True,0,none,-1.0,negative,False,0,add_constraints_to_prompt,escalated_to_human,medium,I'm stuck on this and need some guidance: Rewrite this paragraph in a clearer and more professional tone.,Let's make the behavior deterministic and observable. Signal: latency_timeout while working on tool calling. Quick diagnosis: Look for long-running tool calls or network stalls; add per-step spans/traces. Recommended...,1292.6284437825764,2025-02-04,13,1,False,True,1.48,Rewrite this paragraph in a clearer and more professional tone.,"You are a writing assistant helping users craft clear, engaging, and well-structured content. Keep the tone natural, readable, and aligned with the user's intent.",True,20f1dad1d39f7b8df6faaa166fe78024f8d03fd6,219,True
INT001722,S00994,U00139,2025-03-30 15:07:02+00:00,train,slack,coding_assistant,US,AMER,free,individual,support_strict,openai,gpt-4o-mini,0.258,0.94,768,483,131,614,281,0.01228,0.801,False,none,False,False,False,False,False,False,0,none,2.0,positive,False,0,none,auto_resolved,low,I'm stuck on this and need some guidance: Write a small example that shows how to handle exceptions properly in Python. Can you walk me through a good solution?,"Below is a decision-focused breakdown. Goal: handle rate limiting reliably, with guardrails for formatting and failure handling. Plan: - Prefer simple baselines first; then iterate based on measured failure slices. - Add telemetry fields for...",2185.053380782918,2025-03-30,15,6,True,True,3.687,Write a small example that shows how to handle exceptions properly in Python.,"You are a senior software engineer helping users with code, debugging, and best practices. Provide clear explanations, structured steps, and high-quality code examples when relevant.",True,da34aac46ee8d6d44012043be92e33884c6b4920,244,True
INT001723,S00630,U00365,2025-03-17 14:08:40+00:00,train,api,content_writing,BR,AMER,free,individual,support_strict,anthropic,claude-3.5-sonnet,0.829,0.842,768,138,107,245,413,0.0784,0.889,False,none,False,False,False,False,False,False,0,none,,no_feedback,False,0,none,auto_resolved,medium,I'm working on something and need help: Write a concise product description for a new wireless mouse aimed at software developers. Can you walk me through a good solution?,"Below is a decision-focused breakdown. Goal: handle observability metrics reliably, with guardrails for formatting and failure handling. Plan: - Use schema validation (e.g., Pydantic) to prevent bad inputs from propagating. - Start by writing a...",593.2203389830509,2025-03-17,14,0,False,True,1.2897,Write a concise product description for a new wireless mouse aimed at software developers.,"You are a writing assistant helping users craft clear, engaging, and well-structured content. Keep the tone natural, readable, and aligned with the user's intent.",False,75b7366387b6cf4f5631ec9dd298a359e5bb9c1d,247,True
INT001724,S01165,U00226,2025-02-27 09:42:29+00:00,val,web_app,data_analysis,IN,APAC,pro,enterprise_team,analytics_helper,meta,llama-3.1-8b,0.097,0.855,2048,193,647,840,1286,0.0504,0.427,True,tool_error,False,False,False,False,True,False,2,http_request|knowledge_lookup,,no_feedback,True,0,enable_tools,auto_resolved,low,Context for you: I have a CSV with user sessions. Show me a quick breakdown of sessions per country and device type. Please explain step by step.,Let's make the behavior deterministic and observable. Let's stabilize it. Signal: tool_error while working on safety flag rate. Quick diagnosis: Validate tool arguments before calling the tool; reject invalid calls early. Recommended actions: - Add...,653.1881804043546,2025-02-27,9,3,False,True,0.2983,I have a CSV with user sessions. Show me a quick breakdown of sessions per country and device type.,"You are a data analysis assistant helping users reason about data, metrics, and models. Explain trade-offs, outline steps, and keep the language accessible but precise.",False,fbaac57cdb64395ff60fbf79b148e22caaff1431,251,True
INT001725,S01576,U00247,2025-04-30 07:46:51+00:00,val,web_app,customer_support,DE,EMEA,free,team,general_assistant,anthropic,claude-3.5-sonnet,0.984,0.87,256,306,256,562,661,0.17984,0.653,False,none,False,False,False,False,False,False,0,none,,no_feedback,False,0,none,auto_resolved,high,"Context for you: A user says they were double charged this month. Help me draft a clear explanation and next steps. I'd like a practical, engineering-focused answer.","Below is a practical plan you can execute. Goal: handle slow responses reliably, with guardrails for formatting and failure handling. Plan: - Use schema validation (e.g., Pydantic) to prevent bad inputs from propagating. - Start by writing a...",850.2269288956127,2025-04-30,7,2,False,False,1.1953,A user says they were double charged this month. Help me draft a clear explanation and next steps.,"You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",False,a52fb80193c7c0769c0836852624f4b025a04d2a,244,True
INT001726,S00131,U00383,2025-04-09 15:02:40+00:00,train,api,data_analysis,AE,EMEA,pro,individual,support_strict,openai,gpt-4.1,0.3,0.893,1024,464,315,779,1419,0.3116,0.534,True,tool_error,False,False,False,False,True,False,1,tool_invocation_failed,,no_feedback,True,0,regenerate_with_lower_temp,escalated_to_human,medium,"Quick question: I have a CSV with user sessions. Show me a quick breakdown of sessions per country and device type. A short, clear answer would be ideal.",Here's what I'd implement in production. Signal: tool_error while working on tool-call success rate. Quick diagnosis: Separate tool telemetry from model telemetry so you can see which component...,548.9781536293164,2025-04-09,15,2,False,True,1.473,I have a CSV with user sessions. Show me a quick breakdown of sessions per country and device type.,"You are a data analysis assistant helping users reason about data, metrics, and models. Explain trade-offs, outline steps, and keep the language accessible but precise.",False,a15ac130f4f428f0efac738d5c68655674fccc6e,196,True
INT001727,S00771,U00154,2025-03-25 17:12:36+00:00,val,internal_tool,customer_support,GB,EMEA,free,individual,support_strict,meta,llama-3.1-70b,0.335,0.921,768,543,169,712,999,0.1424,0.98,False,none,False,False,False,False,False,False,0,none,0.0,neutral,False,0,none,abandoned,low,"Context for you: I need a short, friendly reply to a customer who is asking about the status of their refund.","Let's turn this into a reliable workflow. Goal: handle missing feature reliably, with guardrails for formatting and failure handling. Plan: - Add telemetry fields for latency/tokens/cost so you can debug regressions quickly. - Use...",712.7127127127127,2025-03-25,17,1,False,True,3.213,"I need a short, friendly reply to a customer who is asking about the status of their refund.","You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",True,d029d0919f8e306d09ca7001d500c1e6f1c81007,233,True
INT001728,S00359,U00159,2025-02-18 09:22:14+00:00,train,api,coding_assistant,FR,EMEA,enterprise,team,creative_writer,mistral,mistral-large,0.153,0.826,512,1280,284,1564,1161,0.18768,0.604,True,formatting_error,False,False,False,True,False,False,0,none,0.0,neutral,False,2,regenerate_with_lower_temp,escalated_to_human,medium,"I'm working on something and need help: Follow-up: the previous reply did not fully solve the issue. I need help understanding why this asynchronous code is not awaiting correctly. Explain with a small code snippet. A short, clear answer would be ideal.",Let's turn this into a reliable workflow. Signal: formatting_error while working on async I/O pitfalls. Quick diagnosis: Use constrained generation (schema-first prompt) and add unit tests for formatting....,1347.114556416882,2025-02-18,9,1,False,True,4.507,Follow-up: the previous reply did not fully solve the issue. I need help understanding why this asynchronous code is not awaiting correctly. Explain with a small code snippet.,"You are a senior software engineer helping users with code, debugging, and best practices. Provide clear explanations, structured steps, and high-quality code examples when relevant.",True,83c939e9b891e505ac06548e158556e919317a64,207,True
INT001729,S00602,U00291,2025-03-16 08:36:02+00:00,train,slack,customer_support,IN,APAC,pro,individual,support_strict,openai,gpt-4.1,0.144,0.865,512,245,238,483,1004,0.1932,0.864,False,none,False,False,False,False,False,False,1,workflow_orchestrator,1.0,positive,False,0,none,auto_resolved,medium,I'm stuck on this and need some guidance: Our customer is getting an error when trying to log in to their account. Can you help me debug this? Please explain step by step.,"Below is a practical plan you can execute. Goal: handle login issues reliably, with guardrails for formatting and failure handling. Plan: - Prefer simple baselines first; then iterate based on measured failure slices. - Start by writing a small...",481.0756972111554,2025-03-16,8,6,True,False,1.0294,Our customer is getting an error when trying to log in to their account. Can you help me debug this?,"You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",True,d029d0919f8e306d09ca7001d500c1e6f1c81007,247,True
INT001730,S00545,U00198,2025-04-02 22:54:28+00:00,train,mobile_app,customer_support,US,AMER,free,team,analytics_helper,local,custom-local-8b,0.485,1.0,512,572,251,823,1378,0.00328,0.603,True,formatting_error,False,False,False,True,False,False,3,email_send|http_request|knowledge_lookup,-2.0,negative,False,2,add_constraints_to_prompt,escalated_to_human,high,Quick question: Follow-up: the previous reply did not fully solve the issue. Our customer is getting an error when trying to log in to their account. Can you help me debug this?,"Here's a clear, step-by-step answer. Let's stabilize it. Signal: formatting_error while working on data export request. Quick diagnosis: Use constrained generation (schema-first prompt) and add unit tests for formatting. Recommended...",597.2423802612483,2025-04-02,22,2,False,False,2.2789,Follow-up: the previous reply did not fully solve the issue. Our customer is getting an error when trying to log in to their account. Can you help me debug this?,"You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",True,598eba0ae15195966a9835b68c542f0b34fb88e4,235,True
INT001731,S01565,U00322,2025-03-19 08:51:40+00:00,test,web_app,brainstorming,AU,APAC,free,individual,analytics_helper,anthropic,claude-3.5-sonnet,0.643,0.896,1024,305,212,517,3208,0.16544,0.838,False,none,False,False,False,False,False,False,0,none,,no_feedback,False,0,none,auto_resolved,high,"I'm stuck on this and need some guidance: I need naming ideas for an internal tool that tracks experiments and model runs. I'd like a practical, engineering-focused answer.","Let's make the behavior deterministic and observable. Goal: handle developer productivity reliably, with guardrails for formatting and failure handling. Plan: - Prefer simple baselines first; then iterate based on measured failure...",161.15960099750623,2025-03-19,8,2,False,False,1.4387,I need naming ideas for an internal tool that tracks experiments and model runs.,"You are a creative assistant helping users explore ideas and options. Suggest multiple alternatives, structure them clearly, and stay practical.",False,2df52d847c72d1f6b37061123acb53282123086b,233,True
INT001732,S01186,U00054,2025-02-08 10:07:08+00:00,train,web_app,internal_qa,GB,EMEA,free,team,creative_writer,google,gemini-1.5-pro,0.445,0.852,1024,251,75,326,2119,0.10432,0.98,False,none,False,False,False,False,False,False,0,none,2.0,positive,False,0,none,auto_resolved,medium,"I'm stuck on this and need some guidance: Turn this long internal announcement into a short FAQ-style document. I'd like a practical, engineering-focused answer.","Below is a decision-focused breakdown. Goal: handle safety flags reliably, with guardrails for formatting and failure handling. Plan: - Prefer simple baselines first; then iterate based on measured failure slices. - Add telemetry...",153.84615384615384,2025-02-08,10,5,True,True,3.3467,Turn this long internal announcement into a short FAQ-style document.,"You are an internal knowledge assistant helping teammates navigate documentation, policies, and internal tools. Be precise, concise, and point to relevant information and next steps.",True,3ee501c0eea07616af572d79e74d4f247c4b4851,232,True
INT001733,S01374,U00033,2025-02-04 07:52:12+00:00,train,api,customer_support,AU,APAC,free,enterprise_team,creative_writer,mistral,mistral-large,0.217,0.904,768,810,111,921,1993,0.11052,0.612,True,formatting_error,False,False,False,True,False,False,1,email_send,,no_feedback,True,0,decompose_task,auto_resolved,low,Can you help me debug this? A user says they were double charged this month. Help me draft a clear explanation and next steps. Please explain step by step.,"Below is a practical plan you can execute. Let's stabilize it. Signal: formatting_error while working on account verification. Quick diagnosis: Fail closed: if invalid, don't pass downstream; retry with the validator error. Recommended...",462.117410938284,2025-02-04,7,1,False,False,7.2973,A user says they were double charged this month. Help me draft a clear explanation and next steps.,"You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",False,7a490bfafd7436aea43a528e9fe4cb6db10b9a6b,238,True
INT001734,S01120,U00017,2025-02-09 09:30:21+00:00,train,internal_tool,internal_qa,IN,APAC,free,individual,code_assistant_secure,anthropic,claude-3.5-sonnet,0.635,0.876,768,299,146,445,1256,0.1424,0.723,False,none,False,False,False,False,False,False,0,none,,no_feedback,False,0,none,auto_resolved,high,Check this draft announcement for any confusing or inconsistent statements. Please explain step by step.,"We can make this robust with a few changes. Goal: handle provider degradation reliably, with guardrails for formatting and failure handling. Plan: - Use schema validation (e.g., Pydantic) to prevent bad inputs from propagating. - Prefer simple...",354.29936305732485,2025-02-09,9,6,True,True,2.0479,Check this draft announcement for any confusing or inconsistent statements.,"You are an internal knowledge assistant helping teammates navigate documentation, policies, and internal tools. Be precise, concise, and point to relevant information and next steps.",False,aa53b49d0d254b7716206a79226e020b55eab93b,246,True
INT001735,S00334,U00333,2025-03-18 08:13:57+00:00,train,api,customer_support,DE,EMEA,free,enterprise_team,analytics_helper,meta,llama-3.1-8b,0.504,0.876,512,370,98,468,793,0.02808,0.724,False,none,False,False,False,False,False,False,0,none,0.0,neutral,False,0,none,auto_resolved,high,Can you help me debug this? A user says they were double charged this month. Help me draft a clear explanation and next steps. Please explain step by step.,"Below is a decision-focused breakdown. Goal: handle missing feature reliably, with guardrails for formatting and failure handling. Plan: - Use schema validation (e.g., Pydantic) to prevent bad inputs from...",590.1639344262295,2025-03-18,8,1,False,False,3.7755,A user says they were double charged this month. Help me draft a clear explanation and next steps.,"You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",True,598eba0ae15195966a9835b68c542f0b34fb88e4,207,True
INT001736,S01395,U00030,2025-03-23 20:09:23+00:00,train,internal_tool,coding_assistant,IN,APAC,free,individual,code_assistant_secure,meta,llama-3.1-70b,0.183,0.901,768,403,239,642,1705,0.1284,0.566,True,hallucination,True,False,False,False,False,False,0,none,-1.0,negative,False,1,switch_model_family,auto_resolved,medium,I'm working on something and need help: Follow-up: the previous reply did not fully solve the issue. I need help understanding why this asynchronous code is not awaiting correctly. Explain with a small code snippet.,Below is a decision-focused breakdown. Signal: hallucination while working on rate limiting. Quick diagnosis: Use a 'claim -> evidence -> answer' structure and log missing evidence. Recommended...,376.5395894428152,2025-03-23,20,6,True,False,1.6862,Follow-up: the previous reply did not fully solve the issue. I need help understanding why this asynchronous code is not awaiting correctly. Explain with a small code snippet.,"You are a senior software engineer helping users with code, debugging, and best practices. Provide clear explanations, structured steps, and high-quality code examples when relevant.",True,52eadb52b3319d2dab569ce8fb653a0bee56a90f,196,True
INT001737,S00968,U00432,2025-03-30 16:33:46+00:00,train,web_app,customer_support,EG,EMEA,free,team,support_strict,local,custom-local-8b,0.694,0.875,768,1091,156,1247,1911,0.005,0.98,False,none,False,False,False,False,False,False,0,none,2.0,positive,False,0,none,auto_resolved,medium,"I'm working on something and need help: Hi, I'm having an issue with my billing. The invoice total doesn't match what I expected. Can you check it? A short, clear answer would be ideal.","This is a common pattern; the fix is straightforward. Goal: handle unexpected charge reliably, with guardrails for formatting and failure handling. Plan: - Add telemetry fields for latency/tokens/cost so you can debug regressions quickly. - Use schema...",652.537938252224,2025-03-30,16,6,True,True,6.9936,"Hi, I'm having an issue with my billing. The invoice total doesn't match what I expected. Can you check it?","You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",True,d029d0919f8e306d09ca7001d500c1e6f1c81007,254,True
INT001738,S00940,U00446,2025-02-04 15:55:12+00:00,train,mobile_app,coding_assistant,GB,EMEA,free,individual,analytics_helper,meta,llama-3.1-8b,0.168,0.995,1024,1261,419,1680,937,0.1008,0.553,True,hallucination,True,False,False,False,False,False,0,none,-2.0,negative,True,0,decompose_task,escalated_to_human,critical,I'm working on something and need help: Can you refactor this function to be more readable and efficient while keeping the same behaviour? Please explain step by step.,I'll keep this concrete and measurable. Signal: hallucination while working on async I/O pitfalls. Quick diagnosis: Refuse when confidence is low; avoid confident guesses. Recommended actions: -...,1792.9562433297758,2025-02-04,15,1,False,True,3.0095,Can you refactor this function to be more readable and efficient while keeping the same behaviour?,"You are a senior software engineer helping users with code, debugging, and best practices. Provide clear explanations, structured steps, and high-quality code examples when relevant.",True,54f94ac4f6df7ccc4808605ae4fb839b7a1fbfb2,197,True
INT001739,S00257,U00289,2025-04-15 08:12:09+00:00,train,web_app,content_writing,US,AMER,pro,individual,internal_policy_qa,openai,gpt-4o-mini,0.913,0.882,1024,1265,153,1418,297,0.02836,0.563,True,toxicity,False,True,False,False,False,False,0,none,,no_feedback,True,0,add_constraints_to_prompt,escalated_to_human,low,"Quick question: Turn these bullet points into a short, engaging blog introduction about learning machine learning. Please explain step by step.",Below is a practical plan you can execute. Signal: toxicity while working on observability metrics. Quick diagnosis: Measure false positives/negatives so you don't over-block legitimate queries. Recommended...,4774.410774410775,2025-04-15,8,1,False,False,8.268,"Turn these bullet points into a short, engaging blog introduction about learning machine learning.","You are a writing assistant helping users craft clear, engaging, and well-structured content. Keep the tone natural, readable, and aligned with the user's intent.",False,db47a2ba00ac8f8120dcd2fd47d3648a8f594c66,209,True
INT001740,S01146,U00178,2025-02-13 13:28:56+00:00,test,slack,brainstorming,EG,EMEA,pro,individual,internal_policy_qa,openai,gpt-4.1,0.825,0.869,768,88,465,553,2445,0.2212,0.69,False,none,False,False,False,False,False,False,0,none,1.0,positive,False,0,none,auto_resolved,medium,I'm working on something and need help: Give me ten creative ideas for a YouTube series about learning data science from scratch.,"Here are the guardrails I'd put in place. Goal: handle customer support automation reliably, with guardrails for formatting and failure handling. Plan: - Start by writing a small function boundary for customer support automation and add tests...",226.17586912065445,2025-02-13,13,3,False,True,0.1892,Give me ten creative ideas for a YouTube series about learning data science from scratch.,"You are a creative assistant helping users explore ideas and options. Suggest multiple alternatives, structure them clearly, and stay practical.",True,64f5ffde54eb84c78cab2d2147174c299cd15237,245,True
INT001741,S01202,U00249,2025-04-04 13:42:55+00:00,train,slack,customer_support,GB,EMEA,enterprise,enterprise_team,analytics_helper,google,gemini-1.5-pro,0.654,0.806,1536,1038,663,1701,2058,0.54432,0.857,False,none,False,False,False,False,False,False,2,email_send|knowledge_lookup,,no_feedback,False,0,none,auto_resolved,high,"This is coming from an internal team in our company. Our customer is getting an error when trying to log in to their account. Can you help me debug this? I'd like a practical, engineering-focused answer.","Here's a clear, step-by-step answer. Goal: handle login issues reliably, with guardrails for formatting and failure handling. Plan: - Use schema validation (e.g., Pydantic) to prevent bad inputs from propagating. -...",826.5306122448981,2025-04-04,13,4,False,True,1.5656,This is coming from an internal team in our company. Our customer is getting an error when trying to log in to their account. Can you help me debug this?,"You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",False,598eba0ae15195966a9835b68c542f0b34fb88e4,217,True
